x;y;
5.1544181e-006;3.832408e-009;
5.17201e-006;3.9079039e-009;
5.1896019e-006;3.9875678e-009;
5.2071937e-006;4.0365813e-009;
5.2247856e-006;4.0623626e-009;
5.2423775e-006;4.0810101e-009;
5.2599693e-006;4.1025449e-009;
5.2775612e-006;4.1173855e-009;
5.2951531e-006;4.0968512e-009;
5.3127449e-006;4.0314222e-009;
5.3303368e-006;3.9441988e-009;
5.3479287e-006;3.8463575e-009;
5.3655206e-006;3.7400547e-009;
5.3831124e-006;3.6448599e-009;
5.4007043e-006;3.6029524e-009;
5.4182962e-006;3.6213575e-009;
5.435888e-006;3.6653019e-009;
5.4534799e-006;3.7345217e-009;
5.4710718e-006;3.7770618e-009;
5.4886637e-006;3.8157851e-009;
5.5062555e-006;3.8442748e-009;
5.5238474e-006;3.9020556e-009;
5.5414393e-006;3.9369136e-009;
5.5590311e-006;3.942579e-009;
5.576623e-006;3.867928e-009;
5.5942149e-006;3.7382878e-009;
5.6118067e-006;3.6041518e-009;
5.6293986e-006;3.5293871e-009;
5.6469905e-006;3.5241136e-009;
5.6645824e-006;3.5312302e-009;
5.6821742e-006;3.5491671e-009;
5.6997661e-006;3.5853091e-009;
5.717358e-006;3.6103347e-009;
5.7349498e-006;3.6265529e-009;
5.7525417e-006;3.6588027e-009;
5.7701336e-006;3.6738707e-009;
5.7877255e-006;3.6858308e-009;
5.8053173e-006;3.7095323e-009;
5.8229092e-006;3.7176587e-009;
5.8405011e-006;3.6817298e-009;
5.8580929e-006;3.6419941e-009;
5.8756848e-006;3.6140149e-009;
5.8932767e-006;3.6200766e-009;
5.9108685e-006;3.6299083e-009;
5.9284604e-006;3.6295417e-009;
5.9460523e-006;3.6215463e-009;
5.9636442e-006;3.5944566e-009;
5.981236e-006;3.5710784e-009;
5.9988279e-006;3.5509654e-009;
6.0164198e-006;3.5558885e-009;
6.0340116e-006;3.6152208e-009;
6.0516035e-006;3.7407272e-009;
6.0691954e-006;3.8522886e-009;
6.0867873e-006;3.8671376e-009;
6.1043791e-006;3.8445084e-009;
6.121971e-006;3.8111191e-009;
6.1395629e-006;3.7988103e-009;
6.1571547e-006;3.8079666e-009;
6.1747466e-006;3.8441335e-009;
6.1923385e-006;3.8926272e-009;
6.2099303e-006;3.9599443e-009;
6.2275222e-006;4.0053801e-009;
6.2451141e-006;3.9643705e-009;
6.262706e-006;3.944978e-009;
6.2802978e-006;3.934968e-009;
6.2978897e-006;3.9367163e-009;
6.3154816e-006;3.8813787e-009;
6.3330734e-006;3.8163376e-009;
6.3506653e-006;3.7643054e-009;
6.3682572e-006;3.7028755e-009;
6.3858491e-006;3.6423819e-009;
6.4034409e-006;3.5864842e-009;
6.4210328e-006;3.5585452e-009;
6.4386247e-006;3.5673019e-009;
6.4562165e-006;3.5938322e-009;
6.4738084e-006;3.6203492e-009;
6.4914003e-006;3.6438652e-009;
6.5089922e-006;3.6684427e-009;
6.526584e-006;3.6871019e-009;
6.5441759e-006;3.6897731e-009;
6.5617678e-006;3.6678393e-009;
6.5793596e-006;3.6480991e-009;
6.5969515e-006;3.6424377e-009;
6.6145434e-006;3.6408004e-009;
6.6321352e-006;3.634716e-009;
6.6497271e-006;3.628767e-009;
6.667319e-006;3.6368332e-009;
6.6849109e-006;3.6483234e-009;
6.7025027e-006;3.6701274e-009;
6.7200946e-006;3.6958084e-009;
6.7376865e-006;3.7239321e-009;
6.7552783e-006;3.7285141e-009;
6.7728702e-006;3.7076838e-009;
6.7904621e-006;3.6607742e-009;
6.808054e-006;3.5975922e-009;
6.8256458e-006;3.5382488e-009;
6.8432377e-006;3.5037711e-009;
6.8608296e-006;3.4927179e-009;
6.8784214e-006;3.5007707e-009;
6.8960133e-006;3.5134999e-009;
6.9136052e-006;3.5304203e-009;
6.931197e-006;3.5485578e-009;
6.9487889e-006;3.5666703e-009;
6.9663808e-006;3.5888137e-009;
6.9839727e-006;3.6100475e-009;
7.0015645e-006;3.6196536e-009;
7.0191564e-006;3.6277399e-009;
7.0367483e-006;3.6309544e-009;
7.0543401e-006;3.6383854e-009;
7.071932e-006;3.6452412e-009;
7.0895239e-006;3.631615e-009;
7.1071158e-006;3.608317e-009;
7.1247076e-006;3.6097225e-009;
7.1422995e-006;3.6270794e-009;
7.1598914e-006;3.6453506e-009;
7.1774832e-006;3.650655e-009;
7.1950751e-006;3.6551251e-009;
